Company Name,URL
(re) Zip,http://www.rezip.com
100 Coconuts,http://100coconuts.com
12 Tides,http://www.12tides.com
1839 Manuka Honey,http://www.foodview.nz
24Vegan,http://www.24Vegan.com
2Fit Brands,http://www.2fitbrands.com
"3 Seasons Fruit Industry Co., Ltd.",http://WWW.THAIAOCHI.COM
4 Gauge Fitness,http://www.4gauge.com
49th Parallel Coffee Roasters,http://www.49thcoffee.com
4Sisters Rice,https://www.4sistersrice.com/
4th & Heart,http://fourthandheart.com
"50/50 Foods, Inc",http://www.5050foods.com
505 Southwestern/Flagship Food group,http://www.505southwestern.com
A Dozen Cousins,http://adozencousins.com
A Plus Label,http://www.apluslabel.com
a2 Milk,http://www.a2milk.com
Aarke,http://www.aarke.us
Aaron Thomas Company,http://www.Packaging.com
AB World Foods,http://www.pataksusa.com
AB7 America,https://www.alzoo-vet.com/
Abbot's Butcher,https://abbotsbutcher.com
Abbott Blackstone Co.,www.abbottblackstone.com
"Abby's Better, Inc",http://abbysbetter.com
ABC COCINA LLC,https://www.instagram.com/delorigen/?hl=en
Abe's Vegan Muffins,http://www.abesmuffins.com
Abstrax Flavors,https://abstraxtech.com/pages/flavors#process
Acai Roots,http://www.acairoots.com
ACETAIA GIUSTI,https://giusti.it/
"Acetar Bio-Tech, Inc.",http://www.acetar.com
Acetum,http://www.modenafinefoods.com/
ACG,www.acg-world.com
Acid League / Proxies,http://www.acidleague.com
Acorus,http://www.svfactory.eu
Acremade,http://www.acremade.com
Actual Veggies,http://actualveggies.com
ACURE,http://www.acure.com
Adallen Nutrition/Hunan Huacheng Biotech,http://www.huachengbio.com/
"Adamjee Lukmanjee & Sons, (Pvt) Ltd.",http://www.adamjeelukmanjee.com
"Adams Vegetable Oils, Inc.",http://www.adamsgrp.com
Addedbiome,https://added.kr/
Adgile,www.adgile.co
ADM,http://www.adm.com
ADM,http://www.adm.com
Advanced Nutris,https://advancedfood.eu/
"Advanced Sunflower, LLC",http://www.advancedsunflower.com
AEM LAB,www.natuku.com
"AF DRINKS US, LTD",http://WWW.AF-DRINKS.COM
Agencia Argentina de Inversiones y Comercio Internacional,http://www.inversionycomercio.org.ar
Agencia Argentina de Inversiones y Comercio Internacional,http://www.inversionycomercio.org.ar
AGQ Labs,http://www.agqlabs.us.com
Agroasesores San Roque S.A.,https://www.makalafruits.com
Agroindustria Qualita do Brasil,http://www.qualitabrasil.com
"Agronic Food, (Pvt) Ltd.",http://www.agronicfood.com
Agua Bonita,http://www.drinkaguabonita.com
AH! YES inc,https://www.ahyes.org
AHF Vitamins,http://www.ahfvitamins.com
'Āina Organics,www.ainaorganics.com
"Air Products & Chemicals, Inc.",http://www.airproducts.com/food
Airlite Plastics,http://www.airliteplastics.com
Airly,http://www.airlyfoods.com
Aiya Matcha,http://www.aiya-america.com
"Ajumma Republic Co.,Ltd.",http://www.ajummarepublic.com
"Aker BioMarine Antarctic US, LLC",http://www.akerbiomarine.com
AKUA,http://akua.co
AL BARAKAH DATES,http://www.albarakahdatesfactory.com
Al Dente Pasta Company,http://www.aldentepasta.com
Alaffia,http://www.alaffia.com
Alamance Foods,http://www.alamancefoods.com
Alaska Spring Pharmaceuticals,http://alaskaspringpharma.com
AlaskOmega / Wiley Companies,http://www.alaskomega.com
"Albanese Confectionery Group, Inc.",http://www.albanesecandy.com
Alco Printing & Packaging,https://alcousa.com/
Alexandre Family Farm,http://www.alexandrefamilyfarm.com
Alex's Awesome Pizza,www.awesomesourdough.com
"ALFA VITAMINS LABORATORIES, INC",http://WWW.ALFAVITAMINS.COM
"Algae M Tech co., ltd.",http://www.algaemtech.com
Algalif,https://algalif.is/
ALGARROBOS ORGANICOS - PERU,http://www.aoperu.bio
ALICE'S SWEET TOOTH,https://www.alicessweettooth.com/
Alimentos Sanygran,http://www.sanygran.com
Alive Publishing Group,http://www.apg.alive.com
"Alkaline88, LLC",http://www.thealkalinewaterco.com
Alkanatur,http://www.alkanatur.com
Alkemist Labs,http://www.alkemist.com
All American Label & Packaging,http://www.allamericanlabel.net
"All Clean Food, LLC",https://allcleanfood.com/
All Phenoms,https://www.allphenoms.com
All Real Nutrition Inc,www.eatallreal.com
All Terrain Co.,http://www.allterrainco.com/
Allen Family Foods Inc,https://www.allenfamilyfoods.ca/
All-Fill Inc.,http://www.all-fill.com
Allibelle Foods Inc dba Lupii,http://www.getlupii.com
Allied Distribution,http://www.allieddistribution.com
"ALLIED OLD ENGLISH, INC.",http://www.alliedoldenglish.com
Allied Supplements,www.alliedsupplements.com
ALLMAX NATURALS,http://www.ALLMAXNutrition.com
ALLWELLO,http://www.allwello.com
Almond Brothers,http://www.AlmondBrothers.com
"ALO Drinks by SPI West Port, Inc.",http://www.alodrink.com
Aloe Jaumave,http://www.aloejaumave.com
"Aloecorp, Inc.",http://www.aloecorp.com
Aloha,http://www.aloha.com
Alomac,http://alomac.com
ALPACASA,http://www.alpacasa.com
Alpha Foods,http://www.eatalphafoods.com
Alpinola,Na
Alter Eco,http://www.alterecofoods.com
ALTist,http://www.altist.com
Alvarado Street Bakery,http://www.alvaradostreetbakery.com
Alya Foods LLC,http://www.alyafoods.com
Amafruits,http://www.amafruits.com
Amara Baby Food,http://www.amarababyfood.com
AMAZ,http://liveamaz.com
Amazi Foods,http://amazifoods.com
Amazing Grass,http://www.AmazingGrass.com
AMAZONIA BIO SPRL,www.amazoniabio.com
Amborella Organics,http://www.amborellaorganics.com
"Amboseli Foods, LLC",www.usimplyseason.com
Amcor,http://amcor.com
"AME Nutritional Ingredients, Inc.",http://www.amenutrition.com
"American BioSciences, Inc.",http://www.americanbiosciences.com
American Botanical Council,http://www.herbalgram.org
"American Food Ingredients, Inc.",http://www.americanfoodingredients.com
American Laboratories,http://www.americanlaboratories.com
American Licorice Company,http://www.americanlicorice.com
American Testing Lab,https://www.american-testing.com/
"American Vegetable Oils, Inc.",http://www.avooils.com
Americana Trading LLC,http://americanatradingllc.com/
Amerikoa Ingredients LLC,www.amerikoa.com
"Amerilab Technologies, Inc.",http://www.amerilabtech.com
AmerisourceBergen,www.amerisourcebergen.com
Amerpharma Sp. z o.o,http://www.amerpharma.com
Amest Foods,http://amest.com
"AMF Pharma, LLC",http://www.amfpharma.com
Amplify Snack Brands,http://www.amplifysnacks.com
"Amru Rice Cambodia Co., Ltd.",http://www.amrurice.com.kh
"Amtrade, Inc.",http://www.amtradeinc.com
Amy & Brian Naturals,http://www.amyandbriannaturals.com/
Amylu Foods,http://www.amylufoods.com
Amyris,https://amyris.com/
"Anais Life, Inc.",http://www.anaislife.com
Analytical Resource Laboratories (ARL),http://www.analyticalresource.com
Anavila Foods LLC,http://www.anavilafoods.com
Anchor Ingredients Co.,http://www.anchoringredients.com
Ancient Nutrition,http://ancientnutrition.com
Ancient Organics Ghee,http://www.ancientorganics.com
Andalucia Nuts,http://www.andalucianuts.com
Andean Valley Corporation,http://www.andeanvalley.com
"Anderson Global Group, LLC",https://www.advancedingredients.com/
ANDRIANI,http://www.andrianispa.com
"Angel Yeast Co., Ltd",http://www.angelyeast.com
Angelic Bakehouse,http://angelicbakehouse.com
Annie's,http://www.annies.com
"Anresco Laboratories, Inc.",http://www.anresco.com
AOI Matcha,http://www.aoimatcha.com
APEDA,http://www.apeda.gov.in
Appalaches Nature,https://maplejoe.us/
"Applegate Farms, LLC",http://www.applegate.com
"APPS, Inc.",http://www.apps-usa.com
Aqua 9+ Beverage Co.,http://www.aquanineplus.com
Ardent Mills,http://www.ardentmills.com
Ardor,https://www.ardororganic.com/
Argenmieles,www.argenmieles.com.ar
"Ariston Specialties, LLC",http://www.aristonspecialties.com
Armcom,http://www.armcommodities.com
Aroma Naturals,http://www.aromanaturals.com/
AROMATIC AND ALLIED,http://www.aromaticandallied.com
ARRIBA,https://drinkarriba.com/
Arroyo Kitchen/Little Jasmine,http://www.littlejasminefood.com
"Artesania, Inc.",http://www.artesaniainc.com
Arthur Andrew Medical,http://www.arthurandrew.com
Artisana Organics,http://www.artisanaorganics.com
Asarasi Sparkling Tree Water,https://Asarasi.com
Ascent Protein,http://www.ascentprotein.com
"A-Sha Foods USA Co., Inc",https://www.ashadrynoodle.com/
Ashland,http://www.ashland.com
Asia Coconut Processing JSC,http://www.acp.com.vn
Associated Labels and Packaging,http://www.associatedlp.com
Associated Labels and Packaging,http://www.associatedlp.com
AST Enzymes/Specialty Enzymes & Probiotics,http://www.specialtyenzymes.com
"AstaReal, Inc.",http://www.astareal.com
AstroNova,https://astronovaproductid.com/
ATHLETICISM LLC,http://www.athleticism.com
Atlantia Food Clinical Trials,https://atlantiafoodclinicaltrials.com/
Atlantic Natural Foods,http://atlanticnaturalfoods.com/
Atlantic Sea Farms,http://www.atlanticseafarms.com
Atlas Olive Oils,http://atlasoliveoils.com
ATTITUDE,http://www.ATTITUDEliving.com
"AuNutra Industries, Inc.",www.aunutra.com
Aura Bora,aurabora.com
Aura Cacia,https://www.auracacia.com/
Auromere Ayurvedic Imports,https://www.auromere.com
"Aussie Bubs, Inc.",http://www.aussiebubs.com
Australian Dairy Nutritional's,http://www.adnl.com.au
Austrian Federal Economic Chamber,http://www.advantageaustria.org/us
Avacare Health North America Inc.,https://www.avacarenorthamerica.ca/
Avafina Organics,http://www.avafinaorganics.com
AVARELLE,http://www.avarelle.com
AVEC DRINKS CO,http://avecdrinks.com
Avena Foods Limited,http://www.avenafoods.com
Avery WePrint Labels,http://avery.com/fresh
Awake Chocolate,http://www.awakechocolate.com
Awakened Foods,https://awakenedfoods.com/
AWT Labels & Packaging,https://awtlabelpack.com/
Ayo West African Foods,http://www.ayo-foods.com
Ayo Yogurt,http://www.ayoyogurt.com
Ayurveda Wellness Limited (Brand Urban Veda),http://urbanveda.com
Azumex Corp.,http://www.azumexsugar.com
B Corporation,http://usca.bcorporation.net
Baba's,https://lovebabas.com
Babo Botanicals-Mustela,http://www.mustelausa.com  /  http://www.babobotanicals.com
BACH® ORIGINAL FLOWER REMEDIES,http://www.Nelsons.net
"Bachan's, Inc",www.bachans.com
Back to Nature,http://www.bgfoods.com
Badia Spices,http://badiaspices.com
Baja Vida Snacks,http://www.bajavida.com
Bakaliko Unique Greek Imports,http://www.palirria.com
"Bake City, LLC",http://bakecityusa.com
Bakerly,http://www.bakerly.com
Bakery on Main,http://www.bakeryonmain.com
"Baklava Made Better America, Inc.",http://www.bmb-group.com
"Bala Enzyme, Inc",http://www.balaenzyme.com
Bambo Nature,http://www.bambonatureusa.com
Bank of The West,5593177718
BannerBio USA Inc.,http://www.bannerbio.com
Banza,http://www.eatbanza.com/
Banza,http://www.eatbanza.com/
Bard Valley Natural Delights,https://www.naturaldelights.com/
Bare Bones,http://www.barebonesbroth.com
Barentz,https://www.barentz-na.com/
Bari Olive Oil Company,http://www.barioliveoil.com
Barlean's,http://www.barleans.com
Barnana,http://barnana.com
Barney & Co. California,http://www.barneybutter.com
Barsotti Family Juice Company,http://www.barsottijuice.com
BAR-U-EAT,www.barueat.com
Barukas Superfoods,http://www.barukas.com
Base Culture,http://www.baseculture.com
Basillia Organics Pvt ltd,www.Basilli.in
BASKETS-N-BAGS,http://www.baskes-n-bags.org
Bass Brushes Company,http://www.BassBrushes.com
BatchMaster Software,http://www.batchmaster.com
Batory Sweetener Solutions,http://www.batoryfoods.com
Battle Bars,www.battlebars.com
Bauducco,http://www.bauducco.com
BAY CITIES,www.bay-cities.com
Bay State Milling Company,https://www.baystatemilling.com
BC FB USA Corp.,https://www.melonaicecream.com/
"BC Frozen Foods, Inc.",www.bcfrozenfoods.com
"BCFoods, Inc.",http://www.bcfoods.com
"BCW Food Products, Inc.",www.bcwilliams.com
Be Ingredient,https://www.beingredient.com/
Be Leaf Corp.,www.beleafvegan.com
Bean Bops,www.beanbops.com
BeanVIVO®,http://www.beanvivo.com
Bear Balanced,http://www.bearbalanced.com
Bear Bar Foods,https://bearbar.com/
Bearded Brothers,http://www.beardedbros.com
Beaver Beverage Co,http://drinkbeaver.com
Beaverton Foods,http://www.beavertonfoods.com
Beche Nutraceutical Company,www.becheusa.com
"Bedemco, Inc.",http://www.Bedemco.com
Bee Harmony Honey,http://www.beesponsible.com
BEE&YOU,http://www.bee-and-you.com
Beehive Cheese Co,www.beehivecheese.com
Beekeeper Mike Inc,Na
Beekeeper's Naturals Inc.,www.beekeepersnaturals.com
Before the Butcher,http://www.btbfoods.com
Bel Brands,http://www.belbrandsusa.com
Belgian Boys,http://www.belgianboys.com
Beliv Company,http://belivcompany.com
Bell Lifestyle Products,http://belllifestyleproducts.com
Bella B Naturals,http://www.bellabnaturals.com
"Bella Viva Orchards, Inc.",https://bellavivamanufacturing.com
Bellei Lugi e Figli SRL,https://www.bellei.it/en
BelliWelli,www.belliwelli.com
Bellwether Farms,http://www.bellwetherfarms.com
BellyBrain Foods,http://Bellybrainfoods.com
Belvas Belgian Chocolate,http://www.belvas.be
Ben Tre Import Export Joint Stock Company,http://www.betrimex.com.vn
"Bench & Field Pet Foods, LLC",https://www.benchandfield.com
BENEO,http://www.beneo.com
Benson Hill,https://bensonhill.com/
Berlin Packaging,http://www.berlinpackaging.com
Bernard & Sons Maple Products,http://www.bernards.ca
Berri Pro,http://www.berrifit.com
Berry Global,http://www.berryglobal.com
Bert CO,http://www.bertcopackaging.com
